started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 06:29:23.355000+00:00,2023-12-01 06:34:02.167000+00:00,278,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2023-12-01 06:29:30.900000+00:00,2023-12-01 06:41:49.353000+00:00,738,493,Sofienbergparken nordvest,langs Helgesens Gate,59.9243639,10.7615858,392,Sjøsiden 2 ved fontenen,to rader nærmest fontenen,59.910180852633516,10.751698750995615
2023-12-01 06:30:52.062000+00:00,2023-12-01 07:24:42.472000+00:00,3230,427,Briskeby,ved Uranienborg skole,59.920218,10.717978,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509
2023-12-01 06:31:08.574000+00:00,2023-12-01 06:36:44.845000+00:00,336,497,Sirkustomta,langs Finnmarksgata,59.919252,10.774712,574,Annette Thommessens Plass,langs Schweigaards gate,59.9107393,10.7609998
2023-12-01 06:31:40.278000+00:00,2023-12-01 06:39:30.898000+00:00,470,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977
2023-12-01 06:31:54.263000+00:00,2023-12-01 06:37:36.624000+00:00,342,599,Paléhaven,langs Strandgata,59.910331,10.75011,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2023-12-01 06:31:58.295000+00:00,2023-12-01 06:40:39.726000+00:00,521,524,Volvat,langs Sørkedalsveien,59.9330870371029,10.703967938028702,559,Hoffsveien,ved Tingstuveien,59.923898,10.6760339
2023-12-01 06:32:34.065000+00:00,2023-12-01 06:42:34.595000+00:00,600,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641,424,Birkelunden,langs Seilduksgata,59.9256113,10.760926
2023-12-01 06:33:09.158000+00:00,2023-12-01 06:39:12.801000+00:00,363,493,Sofienbergparken nordvest,langs Helgesens Gate,59.9243639,10.7615858,448,Oslo Plaza,ved rundkjøringen,59.91218291295141,10.7544337247013
2023-12-01 06:34:10.734000+00:00,2023-12-01 06:45:37.208000+00:00,686,582,Stavangergata,ved Uelands gate,59.94114763297182,10.750775120272449,462,Stensparken,ved Sporveisgata,59.92714,10.730981
2023-12-01 06:34:15.123000+00:00,2023-12-01 06:35:46.943000+00:00,91,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133
2023-12-01 06:35:06.355000+00:00,2023-12-01 06:57:02.076000+00:00,1315,607,Marcus Thranes gate,ved Akerselva,59.93277225626508,10.758594919923468,438,BI Nydalen,ved hovedinngangen,59.949239,10.768576
2023-12-01 06:35:51.335000+00:00,2023-12-01 06:42:02.565000+00:00,371,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2023-12-01 06:36:08.540000+00:00,2023-12-01 06:45:22.984000+00:00,554,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,437,Sentrum Scene,ved Arbeidersamfunnets plass,59.91546786564256,10.751140873016311
